datasetKey	publishingCountry	occCount	datasetTitle	percentNN	distanceNN	countNN	uniqueLatLon	lastUpdated	numberSampled
0ac24b3c-feb9-48d5-bf02-da4a103f024e	BE	5824	Visfauna - Juvenile and adult fishes in riparian habitats along the river Yser in Flanders, Belgium	0.625	0.02	5	26	2018-09-13	1000
0ac41cc1-7d5c-480a-bddd-f3a45e9477ed	SR	255	Paloemeu River Expedition 1993	0.4	0.05	2	26	2018-09-13	1000
0af8fdeb-6bbd-463e-ae5d-aa13790f896f	GB	25486	Opiliones (Harvestman) Dataset	0.186813186813187	0.03	51	392	2018-09-13	1000
0afa5933-71b8-4339-959f-fd9a11d36e5a	FR	2004	Inventaire des Coléoptères Longicornes des Antilles françaises	0.930232558139535	0.09	40	43	2018-09-13	1000
0afba960-be3b-4202-a7de-736ae05aec9e	AT	158532	University of Vienna, Institute for Botany - Herbarium WU	0.290322580645161	0.02	45	623	2018-09-13	1000
0b2f8a72-cfec-4c00-9424-9ee0bd8bec72	ZA	6199	SANBI: DNA Banking(1987-2011)	0.179856115107914	0.02	25	565	2018-09-13	1000
0b328835-ea95-4ec3-a0f4-dd2dba993f1f	NL	2147	University of Amsterdam (NL) - Páramo Vegetation Research, National Natural Park El Cocuy, Colombia	0.5	0.02	6	36	2018-09-13	1000
0b4099ce-bba5-4c52-a9e7-7761f524c676	MX	44	Colección e identificación de las especies de Meloidogyne y su distribución en los cultivos más importantes para México	0.2	0.21	4	43	2018-09-13	1000
0b50e6ca-13eb-4f48-a9f1-fe6075e9aa39	CO	48	Fauna herpetológica de los Parques Ecológicos Distritales Humedales Bogotá, D.C.	1	0.03	1	41	2018-09-13	1000
0b5f0f86-5743-4f04-a19e-d8e0a983e55a	MX	3811	Captura de datos de la Colección de Curculionoidea (Insecta: Coleoptera) de la Universidad Autónoma de Querétaro	0.173913043478261	0.02	16	141	2018-09-13	1000
0b7656f7-4b0c-4133-abe4-5ba95492d33c	US	3806	USGS SESC - Everglades - Herpetofauna - 2005	1	0.02	1	24	2018-09-13	1000
0b81b94a-9761-46e5-a483-df6fcb840cc5	MX	5147	Códigos de barras de la vida en peces y zooplancton de México	0.0930232558139535	0.15	4	83	2018-09-13	1000
0b90d9d1-4825-4917-9665-04d2014fa794	FR	1824	Données naturalistes de Pascal ROUSSE	0.5	0.09	53	106	2018-09-13	1000
0b94e07b-898e-47fc-b95f-31a5538f326b	CA	48977	Canadian Museum of Nature Mollusc Collection	0.116959064327485	0.03	20	297	2018-09-13	1000
0b94e07b-898e-47fc-b95f-31a5538f326b	CA	48977	Canadian Museum of Nature Mollusc Collection	0.116959064327485	0.03	20	297	2018-09-13	1000
0bbbf728-2d22-46fb-b5ab-37c353fc99ff	GB	15062	Distribution of Species of Conservation Interest in Greater Manchester	1	0.09	11	25	2018-09-13	1000
0bcbd3a8-f22e-4350-a19d-a94fe6ca9738	BR	22693	UFG - Herbário da Universidade Federal de Goiás	0.148760330578512	0.02	36	502	2018-09-13	1000
0bd0f5f0-c661-4ed0-a53f-eb3319d83c87	CO	584	Registro de murciélagos del Cañón del Chicamocha, Santander (2013 - 2014)	0.666666666666667	0.02	2	45	2018-09-13	1000
0bf5686d-46dc-4470-8e3e-00904eb15e1e	IL	1702	BioGIS - Bryophytes - HUJ collections	0.32	0.02	32	154	2018-09-13	1000
0c00cc8f-fd48-4771-acae-216bfc42dfc2	BR	8122	MFS - Herbário Profª. Drª. Marlene Freitas da Silva	0.15	0.03	12	213	2018-09-13	1000
0c293704-8a60-4da4-b64d-2f6679794753	CO	327	Colección nacional de palmas de Colombia - JBQ	0.169491525423729	0.02	10	78	2018-09-13	1000
0c4f3226-2848-4a1d-bf79-7382edad5b4e	BR	558	ZUEC-AST - Coleção de Asteroidea do Museu de Zoologia da UNICAMP	0.413333333333333	0.02	31	120	2018-09-13	1000
0c760ed9-6b18-45e2-9945-d6c43e72e244	FR	93	Données Cétacés Transmed	0.725	0.09	29	40	2018-09-13	1000
0c7bd9e3-ded7-4de4-99ec-d5145361ff48	RU	12371	Vascular plants of the Amur River Basin, Russia: specimen based occurrence dataset of 100 selected species	0.183368869936034	0.02	86	707	2018-09-13	1000
0c876836-5fe0-4f3d-8eba-ef155f2568fd	AR	1353	Colección de Entomología - Diptera - Ceratopogonidae	0.0558375634517767	0.06	11	278	2018-09-13	1000
0c8a1eba-904f-4ed9-aef2-44b3acb00351	GB	8445	RECORD Coccinellidae Data	1	0.09	36	36	2018-09-13	1000
0c956a2f-9849-4a12-adcf-afc5dd17eae8	GB	1533	Dotterel national breeding survey in Britain in 1999 - raw data	0.467289719626168	0.09	50	107	2018-09-13	1000
